group1,group2,meandiff,p-adj,lower,upper,reject,batch_time,distribution
branch_and_bound,genetic,1118.474,0.0,1101.5504,1135.3975,True,60,UNIFORM
branch_and_bound,hybrid,-126.9208,0.0,-143.8444,-109.9973,True,60,UNIFORM
branch_and_bound,local_search,-290.6979,0.0,-307.6214,-273.7744,True,60,UNIFORM
branch_and_bound,nearest_lot,123.3656,0.0,106.4421,140.2892,True,60,UNIFORM
genetic,hybrid,-1245.3948,0.0,-1262.3183,-1228.4713,True,60,UNIFORM
genetic,local_search,-1409.1719,0.0,-1426.0954,-1392.2483,True,60,UNIFORM
genetic,nearest_lot,-995.1083,0.0,-1012.0319,-978.1848,True,60,UNIFORM
hybrid,local_search,-163.7771,0.0,-180.7006,-146.8536,True,60,UNIFORM
hybrid,nearest_lot,250.2865,0.0,233.3629,267.21,True,60,UNIFORM
local_search,nearest_lot,414.0635,0.0,397.14,430.9871,True,60,UNIFORM
branch_and_bound,genetic,-11.6521,0.1343,-25.2744,1.9702,False,60,NORMAL
branch_and_bound,hybrid,-46.1115,0.0,-59.7338,-32.4891,True,60,NORMAL
branch_and_bound,local_search,-310.6312,0.0,-324.2536,-297.0089,True,60,NORMAL
branch_and_bound,nearest_lot,114.3052,0.0,100.6829,127.9275,True,60,NORMAL
genetic,hybrid,-34.4594,0.0,-48.0817,-20.837,True,60,NORMAL
genetic,local_search,-298.9792,0.0,-312.6015,-285.3568,True,60,NORMAL
genetic,nearest_lot,125.9573,0.0,112.335,139.5796,True,60,NORMAL
hybrid,local_search,-264.5198,0.0,-278.1421,-250.8975,True,60,NORMAL
hybrid,nearest_lot,160.4167,0.0,146.7943,174.039,True,60,NORMAL
local_search,nearest_lot,424.9365,0.0,411.3141,438.5588,True,60,NORMAL
branch_and_bound,genetic,-40.0104,0.0011,-68.2511,-11.7698,True,60,EXPONENTIAL
branch_and_bound,hybrid,-12.7948,0.7301,-41.0355,15.4459,False,60,EXPONENTIAL
branch_and_bound,local_search,-285.9125,0.0,-314.1532,-257.6718,True,60,EXPONENTIAL
branch_and_bound,nearest_lot,120.9062,0.0,92.6656,149.1469,True,60,EXPONENTIAL
genetic,hybrid,27.2156,0.0652,-1.025,55.4563,False,60,EXPONENTIAL
genetic,local_search,-245.9021,0.0,-274.1427,-217.6614,True,60,EXPONENTIAL
genetic,nearest_lot,160.9167,0.0,132.676,189.1573,True,60,EXPONENTIAL
hybrid,local_search,-273.1177,0.0,-301.3584,-244.877,True,60,EXPONENTIAL
hybrid,nearest_lot,133.701,0.0,105.4604,161.9417,True,60,EXPONENTIAL
local_search,nearest_lot,406.8188,0.0,378.5781,435.0594,True,60,EXPONENTIAL
branch_and_bound,genetic,1123.9979,0.0,1111.3663,1136.6295,True,30,UNIFORM
branch_and_bound,hybrid,-105.351,0.0,-117.9826,-92.7195,True,30,UNIFORM
branch_and_bound,local_search,-290.3469,0.0,-302.9785,-277.7153,True,30,UNIFORM
branch_and_bound,nearest_lot,503.6396,0.0,491.008,516.2712,True,30,UNIFORM
genetic,hybrid,-1229.349,0.0,-1241.9805,-1216.7174,True,30,UNIFORM
genetic,local_search,-1414.3448,0.0,-1426.9764,-1401.7132,True,30,UNIFORM
genetic,nearest_lot,-620.3583,0.0,-632.9899,-607.7268,True,30,UNIFORM
hybrid,local_search,-184.9958,0.0,-197.6274,-172.3643,True,30,UNIFORM
hybrid,nearest_lot,608.9906,0.0,596.359,621.6222,True,30,UNIFORM
local_search,nearest_lot,793.9865,0.0,781.3549,806.618,True,30,UNIFORM
branch_and_bound,genetic,-10.4776,0.0496,-20.9451,-0.0101,True,30,NORMAL
branch_and_bound,hybrid,-31.4146,0.0,-41.8821,-20.9471,True,30,NORMAL
branch_and_bound,local_search,-313.0036,0.0,-323.4711,-302.5362,True,30,NORMAL
branch_and_bound,nearest_lot,506.0594,0.0,495.5919,516.5269,True,30,NORMAL
genetic,hybrid,-20.937,0.0,-31.4045,-10.4695,True,30,NORMAL
genetic,local_search,-302.526,0.0,-312.9935,-292.0586,True,30,NORMAL
genetic,nearest_lot,516.537,0.0,506.0695,527.0045,True,30,NORMAL
hybrid,local_search,-281.5891,0.0,-292.0565,-271.1216,True,30,NORMAL
hybrid,nearest_lot,537.474,0.0,527.0065,547.9414,True,30,NORMAL
local_search,nearest_lot,819.063,0.0,808.5955,829.5305,True,30,NORMAL
branch_and_bound,genetic,-42.7547,0.0,-65.3885,-20.1209,True,30,EXPONENTIAL
branch_and_bound,hybrid,-40.4656,0.0,-63.0994,-17.8318,True,30,EXPONENTIAL
branch_and_bound,local_search,-294.6792,0.0,-317.313,-272.0454,True,30,EXPONENTIAL
branch_and_bound,nearest_lot,474.0484,0.0,451.4146,496.6822,True,30,EXPONENTIAL
genetic,hybrid,2.2891,0.9987,-20.3447,24.9229,False,30,EXPONENTIAL
genetic,local_search,-251.9245,0.0,-274.5583,-229.2907,True,30,EXPONENTIAL
genetic,nearest_lot,516.8031,0.0,494.1693,539.4369,True,30,EXPONENTIAL
hybrid,local_search,-254.2135,0.0,-276.8473,-231.5797,True,30,EXPONENTIAL
hybrid,nearest_lot,514.5141,0.0,491.8803,537.1479,True,30,EXPONENTIAL
local_search,nearest_lot,768.7276,0.0,746.0938,791.3614,True,30,EXPONENTIAL
branch_and_bound,genetic,1103.955,0.0,1094.2332,1113.6769,True,10,UNIFORM
branch_and_bound,hybrid,-124.1241,0.0,-133.846,-114.4023,True,10,UNIFORM
branch_and_bound,local_search,-299.0146,0.0,-308.7365,-289.2927,True,10,UNIFORM
branch_and_bound,nearest_lot,1924.1234,0.0,1914.4016,1933.8453,True,10,UNIFORM
genetic,hybrid,-1228.0792,0.0,-1237.801,-1218.3573,True,10,UNIFORM
genetic,local_search,-1402.9696,0.0,-1412.6915,-1393.2477,True,10,UNIFORM
genetic,nearest_lot,820.1684,0.0,810.4465,829.8903,True,10,UNIFORM
hybrid,local_search,-174.8905,0.0,-184.6123,-165.1686,True,10,UNIFORM
hybrid,nearest_lot,2048.2476,0.0,2038.5257,2057.9694,True,10,UNIFORM
local_search,nearest_lot,2223.138,0.0,2213.4161,2232.8599,True,10,UNIFORM
branch_and_bound,genetic,-10.6142,0.0193,-20.1005,-1.1279,True,10,NORMAL
branch_and_bound,hybrid,-37.1363,0.0,-46.6226,-27.65,True,10,NORMAL
branch_and_bound,local_search,-303.9208,0.0,-313.4071,-294.4345,True,10,NORMAL
branch_and_bound,nearest_lot,1925.8236,0.0,1916.3373,1935.3099,True,10,NORMAL
genetic,hybrid,-26.522,0.0,-36.0083,-17.0358,True,10,NORMAL
genetic,local_search,-293.3066,0.0,-302.7929,-283.8203,True,10,NORMAL
genetic,nearest_lot,1936.4378,0.0,1926.9516,1945.9241,True,10,NORMAL
hybrid,local_search,-266.7845,0.0,-276.2708,-257.2983,True,10,NORMAL
hybrid,nearest_lot,1962.9599,0.0,1953.4736,1972.4462,True,10,NORMAL
local_search,nearest_lot,2229.7444,0.0,2220.2582,2239.2307,True,10,NORMAL
branch_and_bound,genetic,-38.4358,0.0,-56.9101,-19.9614,True,10,EXPONENTIAL
branch_and_bound,hybrid,-16.0613,0.8503,-59.3875,27.2649,False,10,EXPONENTIAL
branch_and_bound,local_search,-300.0734,0.0,-318.5478,-281.5991,True,10,EXPONENTIAL
branch_and_bound,nearest_lot,1906.9898,0.0,1888.5154,1925.4641,True,10,EXPONENTIAL
genetic,hybrid,22.3745,0.622,-20.9517,65.7007,False,10,EXPONENTIAL
genetic,local_search,-261.6377,0.0,-280.112,-243.1633,True,10,EXPONENTIAL
genetic,nearest_lot,1945.4255,0.0,1926.9512,1963.8999,True,10,EXPONENTIAL
hybrid,local_search,-284.0122,0.0,-327.3383,-240.686,True,10,EXPONENTIAL
hybrid,nearest_lot,1923.051,0.0,1879.7249,1966.3772,True,10,EXPONENTIAL
local_search,nearest_lot,2207.0632,0.0,2188.5888,2225.5375,True,10,EXPONENTIAL
